Number of Variables,Time,Date,Trasition Name,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,¿ÀÈÄ 10:43:50,19/10/2018,"[['l', ['f:3.659400 r:0.703900']], ['l', ['f:8.960500 r:5.606300']]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,hmi_RCSLT459_VALUE,hmi_RCSLT461_VALUE,hmi_CVCLT149_VALUE,hmi_CVCFT121_VALUE,hmi_CVCPT120_VALUE,hmi_CVCFT142A_VALUE,hmi_CVCFT143A_VALUE,hmi_CVCFT144A_VALUE,hmi_CVCFT145A_VALUE,hmi_CVCFT158_VALUE,hmi_CVCFT159_VALUE,hmi_CVCFT160_VALUE,hmi_CVCFT161B_VALUE,hmi_CVCFT215A_VALUE,hmi_CVCFT215B_VALUE,hmi_CVCTT127A_VALUE,hmi_CVCFT132A_VALUE,hmi_CVCPT115_VALUE,hmi_CSSLT09_VALUE,hmi_CSSLT10_VALUE,hmi_CHSRT311_VALUE,hmi_CHSRT312_VALUE,hmi_CHSRT313_VALUE,hmi_CHSRT321_VALUE,hmi_CHSRT322_VALUE,hmi_CHSRT323_VALUE,hmi_CPSRT221_VALUE,hmi_CPSRT222_VALUE,hmi_CPSRT223_VALUE,hmi_CPSRT331_VALUE,hmi_CPSRT332_VALUE,hmi_CPSRT333_VALUE,hmi_CVCTT130A_VALUE,hmi_CVCIT1_VALUE,hmi_CVCIT7_VALUE,hmi_CVCIT17_VALUE,hmi_RCSTT400A_VALUE,hmi_RCSTT403A_VALUE,hmi_RCSTT413A_VALUE,hmi_RCSTT413B_VALUE,hmi_RCSTT420A_VALUE,hmi_RCSTT423_VALUE,hmi_RCSTT423B_VALUE,hmi_RCSTT423C_VALUE,hmi_RCSTT433B_VALUE,hmi_RCSTT443B_VALUE,hmi_RCSTT443C_VALUE,hmi_RCSTT450B_VALUE,hmi_RCSTT451A_VALUE,hmi_RCSTT452A_VALUE,hmi_RCSTT453A_VALUE,hmi_RCSTT454_VALUE,hmi_RCSTT463A_VALUE,hmi_RCSLT501_VALUE,hmi_RCSLT502_VALUE,hmi_RCSLT517A_VALUE,hmi_RCSLT527A_VALUE,hmi_MRSPT514_VALUE,hmi_MRSPT524_VALUE,hmi_MRSPT534_VALUE,hmi_MRSPT544_VALUE,hmi_RCSPT455A_VALUE
5,0.066916371,0.42182915,0.539973204,0.626657226,0.026075905,0.025577422,0.967790273,0.185232894,0.72625784,0.817899823,0.543843707,0.070854714,0.284767186,0.530582726,0.682104275,0.962712736,0.532484939,0.883917368,0.656456688,0.753574409,0.115711597,0.266299976,0.58278834,0.94071655,0.20463704,0.615992429,0.660570782,0.960487765,0.325162737,0.308463381,0.847124304,0.158446152,0.286844656,0.744700768,0.531021794,0.94385197,0.750142594,0.805132469,0.319614161,0.166364594,0.474400282,0.187864622,0.572281728,0.694921304,0.47738089,0.178716232,0.021381456,0.939325204,0.92991817,0.987929827,0.11318168,0.964009325,0.828291278,0.872571342,0.39456528,0.705716693,0.542317942,0.588644356,0.414979947,0.255295606,0.004214675,0.497737109
6,0.992534633,0.33425499,0.403060637,0.92226298,0.297012944,0.313423761,0.479105826,0.904320486,0.186957276,0.433840327,0.798745078,0.42168665,0.061116398,0.874498861,0.539307404,0.581893972,0.728451095,0.427881052,0.237298342,0.867891076,0.589897403,0.533658966,0.610409834,0.409497352,0.450785144,0.017919314,0.384813691,0.070992368,0.758029135,0.782992568,0.800262751,0.631305159,0.2530738,0.573489318,0.050243189,0.738403638,0.535971607,0.911637613,0.028488678,0.173497748,0.499741189,0.074109929,0.464507147,0.628936829,0.321993662,0.837287972,0.984044028,0.373253836,0.736419742,0.1857523,0.730425671,0.925475883,0.574380441,0.870646412,0.848335848,0.987735032,0.734996313,0.120165761,0.151288918,0.020420671,0.851178353,0.744890343
7,0.219732292,0.130435191,0.534804697,0.301678633,0.478630319,0.920668856,0.331503176,0.688334298,0.560517794,0.199926667,0.774048856,0.727006444,0.575100682,0.215459016,0.954391498,0.943869347,0.72653211,0.092216597,0.131846112,0.428880213,0.447286238,0.597521212,0.899448107,0.973516598,0.275468205,0.277013628,0.420026527,0.304176205,0.103120153,0.046780671,0.880301759,0.245085317,0.505233124,0.29395667,0.412718195,0.606027092,0.979526241,0.257797018,0.333306931,0.118368629,0.011472234,0.922762267,0.697138771,0.238903769,0.245051481,0.749826377,0.911049242,0.293495366,0.168062977,0.42637426,0.616224144,0.755352902,0.226132025,0.878142358,0.163895727,0.572437956,0.631275413,0.395827431,0.449109346,0.066617991,0.176605523,0.150164219
8,0.182458797,0.71576214,0.0558981,0.190574551,0.458763432,0.645951742,0.831977565,0.561385661,0.570342809,0.437836333,0.583759891,0.877894209,0.233583537,0.934953353,0.817211907,0.302852314,0.510422947,0.347215541,0.548098719,0.457381428,0.404160319,0.917911037,0.877986193,0.128221034,0.344333545,0.472623303,0.416149385,0.117801821,0.917122638,0.947759127,0.12891627,0.523457127,0.964499039,0.877393763,0.199671135,0.856395965,0.021488299,0.577803418,0.169457217,0.595389669,0.498960446,0.82681125,0.110203201,0.590467985,0.037192325,0.547729918,0.545505725,0.794786955,0.988752975,0.454930807,0.757148132,0.574884392,0.256884026,0.799845302,0.952808864,0.494834535,0.93742664,0.819251446,0.874608997,0.424260391,0.835991699,0.363619678
9,0.913485992,0.706211912,0.751709968,0.365352509,0.967748177,0.473466053,0.624593303,0.218655464,0.968403265,0.508544116,0.062317832,0.113960024,0.18327572,0.696047657,0.25731223,0.364250827,0.305384869,0.220746533,0.04465643,0.590690516,0.565780724,0.326950875,0.333800921,0.408455829,0.256034212,0.41300705,0.046460746,0.676956856,0.797072537,0.404431486,0.884197237,0.325923979,0.024708571,0.044953641,0.009834791,0.856078504,0.276313519,0.2428913,0.753192129,0.097979601,0.168889916,0.938780327,0.600538546,0.286505415,0.497162604,0.378648383,0.829854067,0.263082173,0.329404656,0.472865317,0.488267516,0.793935583,0.91887159,0.592644251,0.045998491,0.966470294,0.360641812,0.298178867,0.923863928,0.982407021,0.785217196,0.253483968
10,0.013581842,0.705666737,0.029567539,0.961835036,0.466670786,0.137114833,0.415265716,0.546976374,0.900703384,0.403019583,0.585157674,0.27882945,0.214685084,0.929513899,0.714570597,0.977559648,0.067248627,0.863394514,0.390276586,0.858920122,0.89612538,0.307933472,0.384573743,0.023928274,0.059877468,0.005981339,0.174811739,0.711146024,0.4907634,0.300359432,0.89534108,0.726740629,0.030975482,0.687533549,0.671259437,0.302126315,0.06021959,0.695669208,0.672377888,0.095675228,0.354126917,0.226164571,0.53426806,0.04632514,0.590678937,0.629373068,0.905537926,0.263309282,0.339787453,0.406790664,0.168968496,0.273615672,0.323963303,0.593093138,0.500159243,0.156795184,0.923682559,0.809232069,0.549365326,0.972044882,0.19378499,0.670605431
11,0.514345607,0.383715167,0.485767397,0.030615988,0.921273274,0.805071856,0.703378826,0.295669903,0.552919269,0.640727826,0.656575578,0.937614651,0.446851302,0.162428818,0.43146426,0.319737932,0.597395376,0.802807174,0.369260635,0.572112727,0.836213928,0.786264672,0.87012669,0.919684973,0.085872493,0.109959693,0.763079492,0.538727547,0.693499703,0.39807976,0.731282604,0.033929969,0.27775018,0.751491434,0.752951776,0.741129279,0.077163638,0.173962935,0.821908305,0.422705558,0.53210152,0.280318909,0.470454527,0.159113659,0.048031565,0.695397902,0.798906447,0.730859317,0.621169263,0.325263237,0.025274235,0.501049623,0.063644374,0.949256575,0.251620799,0.573509142,0.393218139,0.696279487,0.377875488,0.633982491,0.877523736,0.582695875
12,0.510655683,0.610933004,0.494648776,0.481807986,0.784291609,0.405580409,0.614560833,0.662974161,0.226438032,0.85492324,0.7304448,0.395436852,0.191125471,0.880666439,0.182529531,0.925198944,0.409034605,0.665967426,0.242841805,0.06521218,0.181898326,0.079531359,0.307753328,0.132454941,0.935661344,0.068312874,0.164536665,0.590870687,0.437367374,0.867611708,0.662779576,0.110006505,0.14645077,0.654408555,0.693446977,0.282847236,0.248837841,0.959625499,0.166632916,0.80714983,0.977543296,0.160352885,0.880767564,0.121469803,0.232915888,0.335455119,0.493027226,0.239801924,0.2643151,0.750997258,0.387391683,0.786947007,0.166676965,0.514296999,0.435411019,0.303278056,0.365117925,0.397376157,0.943629343,0.477974384,0.8778692,0.425162408
13,0.661406636,0.294984783,0.412482691,0.350276691,0.093765282,0.080464706,0.562629049,0.041943185,0.538418436,0.00787878,0.042926631,0.862179518,0.570995888,0.326046907,0.873394035,0.462307612,0.0298224,0.183659313,0.460291052,0.86172284,0.003245809,0.281743417,0.342506272,0.780283619,0.020481863,0.435188928,0.2363974,0.886669202,0.524424008,0.129370314,0.157525832,0.393557908,0.25412456,0.933076619,0.615930966,0.296317268,0.858008379,0.391712229,0.054278755,0.976461022,0.520969541,0.436794852,0.340611744,0.921305223,0.864161274,0.514089891,0.062744107,0.929675675,0.699134834,0.32781001,0.258171337,0.739684986,0.473450023,0.763955232,0.426977782,0.420751293,0.169537365,0.217844761,0.003199357,0.841706758,0.955206356,0.261713467
14,0.348516648,0.520937996,0.461767202,0.888410031,0.819987032,0.442344382,0.137667902,0.615555936,0.650124103,0.976575332,0.963887426,0.481679294,0.744115129,0.236829723,0.665636838,0.839466484,0.264190753,0.549646321,0.050798094,0.564197078,0.145141904,0.471389632,0.674582155,0.442024793,0.310588198,0.92670427,0.020907077,0.988951724,0.548643184,0.941705626,0.096087238,0.036295358,0.921948681,0.056772505,0.849205104,0.190932439,0.661796149,0.78452681,0.38043318,0.770231969,0.303455548,0.369311904,0.072761357,0.259912302,0.065235459,0.761457311,0.829232708,0.210991732,0.540285035,0.888611183,0.434208572,0.650450855,0.122266594,0.905720064,0.760408676,0.298443204,0.120561083,0.700846269,0.069618816,0.324856622,0.470324308,0.717107964
15,0.346290446,0.382407848,0.384334921,0.474381886,0.097858624,0.491401335,0.193178084,0.219924902,0.061246672,0.42311429,0.597564989,0.321951284,0.356190018,0.299259549,0.30531589,0.004663707,0.290980869,0.300543536,0.579685888,0.138248564,0.343773897,0.894160766,0.607577235,0.081119552,0.779026487,0.200543383,0.70314297,0.772813521,0.981361741,0.774968456,0.463315066,0.860099656,0.297495811,0.08246621,0.042931316,0.713250081,0.229223996,0.33365485,0.316617707,0.550356835,0.897971122,0.557069934,0.32696892,0.280396468,0.063121162,0.361815994,0.242753524,0.16387008,0.014054988,0.903817431,0.628990876,0.529461712,0.876823857,0.962113963,0.303209873,0.868401046,0.823076528,0.799470483,0.999620511,0.716533076,0.965967726,0.089225682
16,0.622302681,0.471711622,0.645191536,0.002692179,0.216739024,0.954235321,0.771510429,0.515348674,0.73074853,0.21844254,0.420751264,0.773360153,0.040456869,0.788293468,0.846941481,0.597831179,0.900769704,0.492317148,0.284041195,0.751704092,0.93779614,0.970167635,0.897391646,0.316337208,0.992198355,0.633898897,0.923264818,0.51507398,0.157488992,0.695082901,0.577703227,0.864127385,0.890093077,0.573000873,0.966552439,0.08940507,0.464634789,0.870107837,0.813555183,0.715483918,0.530196673,0.693137855,0.203131651,0.618163376,0.158291569,0.150356177,0.196675825,0.196210352,0.306383654,0.313952477,0.475161558,0.351318785,0.46925279,0.339340769,0.207441052,0.291871571,0.121590019,0.195346202,0.115871242,0.14939706,0.180112581,0.786556001
17,0.229616983,0.128771599,0.700017255,0.913757822,0.664670001,0.602881263,0.10156982,0.284120555,0.937224691,0.068002926,0.60580388,0.251397912,0.601427242,0.710341975,0.579453691,0.923936997,0.009779637,0.57256803,0.974967725,0.81853193,0.035383047,0.755412263,0.797271158,0.871824993,0.876588605,0.839792098,0.354720174,0.63072097,0.860658504,0.545135521,0.484376177,0.440193766,0.89946917,0.66835543,0.736807182,0.564865254,0.666323399,0.786152926,0.440110111,0.836137933,0.105326525,0.184306047,0.803295599,0.229765588,0.631867619,0.95881817,0.370378357,0.559481483,0.210633295,0.689295335,0.538664837,0.406175125,0.513866145,0.823836108,0.240243744,0.789311815,0.100071659,0.475230116,0.438332934,0.476066137,0.850727353,0.099845897
18,0.173892842,0.343848377,0.745647517,0.018990749,0.887235812,0.902912039,0.704411758,0.281819799,0.749548508,0.58771515,0.455313053,0.956872317,0.812877505,0.61846768,0.989258512,0.56521869,0.43008421,0.924968813,0.023468509,0.126713923,0.095611149,0.48396629,0.536148018,0.00400957,0.430416747,0.937874706,0.893926894,0.301580921,0.791940081,0.008352878,0.211380326,0.585708347,0.881873544,0.094288883,0.664438411,0.51194806,0.260076448,0.03189194,0.467598575,0.40159538,0.642628101,0.525705009,0.034865647,0.476691142,0.227914793,0.90047427,0.348894073,0.347761069,0.096907992,0.931226313,0.696844294,0.933009878,0.961442095,0.190763902,0.35434767,0.519988524,0.928065536,0.646684662,0.10868926,0.044333032,0.059599432,0.996562521
19,0.468570385,0.760515375,0.958561901,0.099456431,0.924897701,0.114874728,0.06550828,0.765743678,0.98073462,0.494937626,0.142392383,0.03250259,0.418823455,0.798352157,0.51712804,0.333238828,0.815464206,0.85313532,0.244928313,0.50128389,0.785063075,0.921889437,0.539161154,0.997482337,0.355117324,0.416343286,0.501576898,0.596509071,0.528519635,0.674273273,0.653016755,0.36082688,0.941417925,0.812990375,0.109285264,0.131744865,0.209493537,0.886375409,0.073004115,0.746076505,0.58250766,0.180335865,0.830653161,0.227972853,0.706165816,0.741116288,0.423222562,0.611143639,0.30737173,0.225012858,0.430682299,0.184962694,0.437531455,0.999234647,0.788835417,0.796784813,0.313861708,0.469860054,0.468682822,0.425542356,0.742994935,0.084644948
20,0.639447443,0.563242473,0.532868777,0.690784541,0.362420144,0.31242961,0.253918301,0.744253701,0.919216784,0.834816404,0.083966396,0.304132239,0.118421208,0.047278478,0.958500033,0.368048939,0.45129831,0.618084871,0.567411347,0.399180378,0.608916587,0.385844506,0.43669355,0.518184962,0.339972259,0.811915228,0.400474627,0.028132648,0.478997888,0.801174464,0.925364432,0.347985903,0.406346305,0.088637336,0.84014652,0.782813302,0.055506262,0.203553113,0.728550223,0.253140976,0.391800922,0.169270284,0.669103228,0.427652314,0.28325445,0.118405819,0.390439476,0.573010288,0.78403989,0.529805553,0.189728057,0.400983002,0.691748979,0.843411995,0.677473289,0.840485018,0.920379991,0.196797907,0.397661075,0.445106095,0.309635222,0.435877227
21,0.053287011,0.835135669,0.804129392,0.505625752,0.580291139,0.668779077,0.952253665,0.350448042,0.205941521,0.160178051,0.61489084,0.351294686,0.55353459,0.929629688,0.079371888,0.446975587,0.415814717,0.808666722,0.528652052,0.06496595,0.287942141,0.693233241,0.885548042,0.685284128,0.475988531,0.780494921,0.996679718,0.744001576,0.090114282,0.956087868,0.432556704,0.738735354,0.181975259,0.58152826,0.772820398,0.249471615,0.463652936,0.322036498,0.576796597,0.666504582,0.332693615,0.311554563,0.136816224,0.280510119,0.908025913,0.431417561,0.512640627,0.074210839,0.851497795,0.940583797,0.107614188,0.661691588,0.715464608,0.363110459,0.370172009,0.031021442,0.576123863,0.826208319,0.634980728,0.927101922,0.706772525,0.750594988
22,0.952782482,0.142727208,0.102893916,0.940466799,0.945113128,0.60293167,0.392855558,0.074902229,0.984620099,0.932877847,0.748368706,0.744341055,0.563730413,0.961141467,0.67912596,0.897490863,0.475588189,0.055607174,0.195846803,0.855239214,0.886627522,0.017672673,0.493258993,0.245480038,0.863064188,0.610105336,0.328117321,0.798494292,0.61217773,0.055623814,0.191979349,0.749149854,0.483755992,0.03526195,0.483736168,0.262533685,0.82338869,0.099863032,0.897457763,0.763252639,0.377055621,0.995728626,0.10402462,0.568501467,0.737073748,0.894751939,0.784269402,0.736743505,0.577627131,0.65708451,0.551626514,0.999878585,0.92503234,0.053424407,0.417219552,0.546509801,0.995020829,0.344552595,0.42666585,0.535325522,0.164986288,0.711398915
23,0.932847126,0.753979129,0.706734479,0.703192511,0.1288149,0.606997719,0.019111127,0.740891426,0.358918678,0.836901603,0.412576701,0.267523555,0.425392452,0.809484588,0.223184925,0.215255785,0.331061511,0.794808872,0.289023053,0.884244473,0.553696477,0.064479406,0.481107098,0.931808233,0.505955484,0.88909984,0.741309072,0.322220559,0.794824032,0.774306248,0.995193365,0.883911036,0.303088227,0.141754961,0.551754081,0.666899732,0.116850614,0.225187769,0.157020409,0.911399014,0.415679776,0.95081893,0.683276705,0.557615727,0.142319206,0.682392029,0.620446436,0.907457222,0.269296517,0.544730966,0.166771785,0.432699717,0.354400292,0.91338907,0.810395699,0.526391228,0.105530776,0.10833251,0.320522103,0.293329539,0.392649648,0.260149042
24,0.659950194,0.634104913,0.66753546,0.203123127,0.801830044,0.475578612,0.098214324,0.040648581,0.297393207,0.418988357,0.712079149,0.326516367,0.752319071,0.369676263,0.41701979,0.352379638,0.310455808,0.33717931,0.861971258,0.797796158,0.519980859,0.672464641,0.672323515,0.49848225,0.096866344,0.982492533,0.78024457,0.751921602,0.338550068,0.017833313,0.53614074,0.392657906,0.825901403,0.517296822,0.394681434,0.219554168,0.485713742,0.397095051,0.887081965,0.852737015,0.84151121,0.939271971,0.592160542,0.203951171,0.85820964,0.485920088,0.862561377,0.896327613,0.636316387,0.024435653,0.271116989,0.887148548,0.458583392,0.355471727,0.445988674,0.146593549,0.992035541,0.319427859,0.146952562,0.434292186,0.972971578,0.576578553
